name,ring,quadrant,isNew,description
Angular,Tillämpa,Språk & Ramverk,FALSE,<p>GUI ramverk för utveckling av e-tjänster och handläggningstjänster</p>
SASS,Tillämpa,Språk & Ramverk,FALSE,<p>CSS kompilator</p>
Powershell,Tillämpa,Språk & Ramverk,FALSE,<p>Kommandoskal för Windows</p>
Openlayers,Tillämpa,Språk & Ramverk,FALSE,<p> Klientramverk för utveckling av kartapplikationer	</p>
PHP,Tillämpa,Språk & Ramverk,FALSE,<p> Språk för utveckling av webbapplikationer	</p>
Typescript,Tillämpa,Språk & Ramverk,FALSE,<p> Utökning av Javascript med typning	</p>
Geoserver,Tillämpa,Språk & Ramverk,FALSE,<p> Applikationsserver för karttjänster	</p>
Java,Tillämpa,Språk & Ramverk,FALSE,<p> Plattformsoberoende programmeringsspråk	</p>
Spring boot,Tillämpa,Språk & Ramverk,FALSE,<p> Applikationsserver med ramverket Spring	</p>
NODE.JS,Utvärdera,Språk & Ramverk,FALSE,<p>som appserver-web i produktion</p>
Leaflet (GIS),Prova,Språk & Ramverk,FALSE,<p>Klientramverk för utveckling av kartapplikationer</p>
Apache Wicket,Avveckla,Språk & Ramverk,FALSE,<p>Java serverside web ramverk</p>
Visual basic,Avveckla,Språk & Ramverk,FALSE,<p>Programspråk i BASIC-familjen som är utvecklat av Microsoft</p>
Java webstart,Avveckla,Språk & Ramverk,FALSE,<p></p>
ANT,Avveckla,Språk & Ramverk,FALSE,<p>Verktyg för att i första hand automatisera byggen av datorprogram skrivna i Java</p>
Angular.JS,Avveckla,Språk & Ramverk,FALSE,<p>JavaScript baserat  open-source front-end web-ramverk</p>
Play1,Avveckla,Språk & Ramverk,FALSE,<p>Webbramverk. Ramverk som användes vid utveckling av Platser.</p>
JSPM,Avveckla,Språk & Ramverk,FALSE,<p>Pakethanterare för laddning av Javascript vid utveckling av webbapplikationer. Användes initialt vid utveckling av Arkreg.</p>
LESS,Avveckla,Språk & Ramverk,FALSE,<p>CSS kompilator. Använd SASS.</p>
Javascript,Avveckla,Språk & Ramverk,FALSE,<p>scriptspråk</p>
JMeter,Tillämpa,Verktyg,FALSE,<p></p>
Visual studio code,Tillämpa,Verktyg,FALSE,<p>Källkodseditor</p>
Protractor,Tillämpa,Verktyg,FALSE,<p></p>
Jasmine,Tillämpa,Verktyg,FALSE,<p></p>
ELK,Tillämpa,Verktyg,FALSE,<p>Elastic, logstash, Kibana</p>
npm,Tillämpa,Verktyg,FALSE,<p>Beroendehantering för node.js</p>
Karma,Tillämpa,Verktyg,FALSE,<p></p>
Mocha,Tillämpa,Verktyg,FALSE,<p></p>
Servicedesk,Tillämpa,Verktyg,FALSE,<p> IT helpdesk system</p>
GPO,Tillämpa,Verktyg,FALSE,<p>Client & Server styrning</p>
Bitbucket,Tillämpa,Verktyg,FALSE,<p>Versionshantering (förpackning av Git)</p>
GIT,Tillämpa,Verktyg,FALSE,<p></p>
Gradle,Tillämpa,Verktyg,FALSE,<p></p>
Bamboo,Tillämpa,Verktyg,FALSE,<p></p>
Jira,Tillämpa,Verktyg,FALSE,<p></p>
IntelliJ,Tillämpa,Verktyg,FALSE,<p></p>
Puppet,Tillämpa,Verktyg,FALSE,<p></p>
Satellit,Tillämpa,Verktyg,FALSE,<p></p>
Eclipse,Tillämpa,Verktyg,FALSE,<p></p>
Confluence,Tillämpa,Verktyg,FALSE,<p></p>
Composer,Tillämpa,Verktyg,FALSE,<p></p>
Navicat,Utvärdera,Verktyg,FALSE,<p></p>
Greylog,Utvärdera,Verktyg,FALSE,<p></p>
Graphana,Utvärdera,Verktyg,FALSE,<p></p>
Ansible,Utvärdera,Verktyg,FALSE,<p></p>
GO.CD,Utvärdera,Verktyg,FALSE,<p></p>
Draw.IO,Utvärdera,Verktyg,FALSE,<p></p>
Cucumber,Utvärdera,Verktyg,FALSE,<p></p>
Spinnaker,Utvärdera,Verktyg,FALSE,<p></p>
Usabilla,Utvärdera,Verktyg,FALSE,<p></p>
Docker,Prova,Verktyg,FALSE,<p></p>
Screenly,Prova,Verktyg,FALSE,<p></p>
Entryscape,Prova,Verktyg,FALSE,<p></p>
Capistrano,Avveckla,Verktyg,FALSE,<p></p>
Maven,Avveckla,Verktyg,FALSE,<p></p>
Iipax,Tillämpa,Platform,FALSE,<p></p>
3-heights,Tillämpa,Platform,FALSE,<p></p>
platina,Tillämpa,Platform,FALSE,<p></p>
IPhone,Tillämpa,Platform,FALSE,<p></p>
IPad,Tillämpa,Platform,FALSE,<p></p>
Wordpress,Tillämpa,Platform,FALSE,<p></p>
